episod,name,date
1,Hi Diddle Riddle,1/12/1966
2,Smack in the Middle,1/13/1966
3,Fine Feathered Finks,1/19/1966
4,The Penguin's a Jinx,1/20/1966
5,The Joker Is Wild,1/26/1966
6,Batman Is Riled,1/27/1966
7,Instant Freeze,2/2/1966
8,Rats Like Cheese,2/3/1966
9,Zelda the Great,2/9/1966
10,A Death Worse Than Fate,2/10/1966
11,A Riddle a Day Keeps the Riddler Away,2/16/1966
12,When the Rat's Away the Mice Will Play,2/17/1966
13,The Thirteenth Hat,2/23/1966
14,Batman Stands Pat,2/24/1966
15,The Joker Goes to School,3/2/1966
16,"He Meets His Match, the Grisly Ghoul",3/3/1966
17,True or False Face,3/9/1966
18,Holy Rat Race,3/10/1966
19,The Purr-Fect Crime,3/16/1966
20,Better Luck Next Time,3/17/1966
21,The Penguin Goes Straight,3/23/1966
22,"Not Yet, He Ain't",3/24/1966
23,The Ring of Wax,3/30/1966
24,Give 'em the Axe,3/31/1966
25,The Joker Trumps an Ace,4/6/1966
26,Batman Sets the Pace,4/7/1966
27,The Curse of Tut,4/13/1966
28,The Pharaoh's in a Rut,4/14/1966
29,The Bookworm Turns,4/20/1966
30,While Gotham City Burns,4/21/1966
31,Death in Slow Motion,4/27/1966
32,The Riddler's False Notion,4/28/1966
33,Fine Finny Fiends,5/4/1966
34,Batman Makes the Scenes,5/5/1966
,,
35,Shoot a Crooked Arrow,9/7/1966
36,Walk the Straight and Narrow,9/8/1966
37,Hot Off the Griddle,9/14/1966
38,The Cat and the Fiddle,9/15/1966
39,The Minstrel's Shakedown,9/21/1966
40,Barbecued Batman?,9/22/1966
41,The Spell of Tut,9/28/1966
42,Tut's Case is Shut,9/29/1966
43,The Greatest Mother of Them All,10/5/1966
44,Ma Parker,10/6/1966
45,The Clock King's Crazy Crimes,10/12/1966
46,The Clock King Gets Crowned,10/13/1966
47,An Egg Grows in Gotham,10/19/1966
48,The Yegg Foes in Gotham,10/20/1966
49,The Devil's Fingers,10/26/1966
50,The Dead Ringers,10/27/1966
51,Hizzonner the Penguin,11/2/1966
52,Dizzoner the Penguin,11/3/1966
53,Green Ice,11/9/1966
54,Deep Freeze,11/10/1966
55,The Impractical Joker,11/16/1966
56,The Joker's Provokers,11/17/1966
57,"Marsha, Queen of Diamonds",11/23/1966
58,Marsha's Scheme of Diamonds,11/24/1966
59,"Come Back, Shame",11/30/1966
60,It's the Way You Play the Game,12/1/1966
61,The Penguin's Nest,12/7/1966
62,The Bird's Last Jest,12/8/1966
63,The Cat's Meow,12/14/1966
64,The Bat's Kow Tow,12/15/1966
65,The Puzzles Are Coming,12/21/1966
66,The Duo Is Slumming,12/22/1966
67,The Sandman Cometh,12/28/1966
68,The Catwoman Goeth,12/29/1966
69,The Contaminated Cowl,1/4/1967
70,The Mad Hatter Runs Afoul,1/5/1967
71,The Zodiac Crimes,1/11/1967
72,The Joker's Hard Times,1/12/1967
73,The Penguin Declines (3),1/18/1967
74,That Darn Catwoman,1/19/1967
75,Scat! Darn Catwoman,1/25/1967
76,Penguin Is a Girl's Best Friend,1/26/1967
77,Penguin Sets a Trend,2/1/1967
78,Penguin's Disastrous End (3),2/2/1967
79,Batman's Anniversary,2/8/1967
80,A Riddling Controversy,2/9/1967
81,The Joker's Last Laugh,2/15/1967
82,The Joker's Epitaph,2/16/1967
83,Catwoman Goes to College,2/22/1967
84,Batman Displays His Knowledge,2/23/1967
85,A Piece of the Action,3/1/1967
86,Batman's Satisfaction,3/2/1967
87,King Tut's Coup,3/8/1967
88,Batman's Waterloo,3/9/1967
89,Black Widow Strikes Again,3/15/1967
90,Caught in the Spider's Den,3/16/1967
91,Pop Goes the Joker,3/22/1967
92,Flop Goes the Joker,3/23/1967
93,Ice Spy,3/29/1967
94,The Duo Defy,3/30/1967
,,
95,"Enter Batgirl, Exit Penguin",9/14/1967
96,Ring Around the Riddler,9/21/1967
97,The Wail of the Siren,9/28/1967
98,The Sport of Penguins,10/5/1967
99,A Horse of Another Color,10/12/1967
100,The Unkindest Tut of All,10/19/1967
101,Louie the Lilac,10/26/1967
102,The Ogg and I,11/2/1967
103,How to Hatch a Dinosaur,11/9/1967
104,Surf's Up! Joker's Under!,11/16/1967
105,The Londinium Larcenies,11/23/1967
106,The Foggiest Notion,11/30/1967
107,The Bloody Tower (3),12/7/1967
108,Catwoman's Dressed to Kill,12/14/1967
109,The Ogg Couple,12/21/1967
110,The Funny Feline Felonies,12/28/1967
111,The Joke's on Catwoman,1/4/1968
112,Louie's Lethal Lilac Time,1/11/1968
113,Nora Clavicle and the Ladies' Crime Club,1/18/1968
114,Penguin's Clean Sweep,1/25/1968
115,The Great Escape,2/1/1968
116,The Great Train Robbery,2/8/1968
117,I'll Be a Mummy's Uncle,2/22/1968
118,The Joker's Flying Saucer,2/29/1968
119,The Entrancing Dr. Cassandra,3/7/1968
120,"Minerva, Mayhem and Millionaires",3/14/1968
